x,lx,qx,äx,Ax,2Ax,äx:1̅0̅|,Ax:1̅0̅|,äx:2̅0̅|,Ax:2̅0̅|,5Ex,10Ex,20Ex
20," 100,000.0 ",0.000250,19.9664,0.04922,0.00580,8.0991,0.61433,13.0559,0.37829,0.78252,0.61224,0.37440
21," 99,975.0 ",0.000253,19.9197,0.05144,0.00614,8.0990,0.61433,13.0551,0.37833,0.78250,0.61220,0.37429
22," 99,949.7 ",0.000257,19.8707,0.05378,0.00652,8.0988,0.61434,13.0541,0.37837,0.78248,0.61215,0.37417
23," 99,924.0 ",0.000262,19.8193,0.05622,0.00694,8.0986,0.61435,13.0531,0.37842,0.78245,0.61210,0.37404
24," 99,897.8 ",0.000267,19.7655,0.05879,0.00739,8.0983,0.61437,13.0519,0.37848,0.78243,0.61205,0.37390
25," 99,871.1 ",0.000273,19.7090,0.06147,0.00788,8.0981,0.61438,13.0506,0.37854,0.78240,0.61198,0.37373
26," 99,843.8 ",0.000280,19.6499,0.06429,0.00841,8.0978,0.61439,13.0491,0.37862,0.78236,0.61191,0.37354
27," 99,815.9 ",0.000287,19.5878,0.06725,0.00900,8.0974,0.61441,13.0474,0.37869,0.78233,0.61183,0.37334
28," 99,787.2 ",0.000296,19.5228,0.07034,0.00964,8.0970,0.61443,13.0455,0.37878,0.78229,0.61174,0.37310
29," 99,757.7 ",0.000305,19.4547,0.07359,0.01033,8.0966,0.61445,13.0434,0.37888,0.78224,0.61163,0.37284
30," 99,727.3 ",0.000315,19.3834,0.07698,0.01109,8.0961,0.61447,13.0410,0.37900,0.78219,0.61152,0.37254
31," 99,695.8 ",0.000327,19.3086,0.08054,0.01192,8.0956,0.61450,13.0384,0.37913,0.78213,0.61139,0.37221
32," 99,663.2 ",0.000341,19.2303,0.08427,0.01281,8.0949,0.61453,13.0354,0.37927,0.78206,0.61124,0.37183
33," 99,629.3 ",0.000356,19.1484,0.08817,0.01379,8.0943,0.61456,13.0320,0.37943,0.78199,0.61108,0.37141
34," 99,593.8 ",0.000372,19.0626,0.09226,0.01486,8.0935,0.61460,13.0282,0.37961,0.78190,0.61090,0.37094
35," 99,556.7 ",0.000391,18.9728,0.09653,0.01601,8.0926,0.61464,13.0240,0.37981,0.78181,0.61069,0.37041
36," 99,517.8 ",0.000412,18.8788,0.10101,0.01727,8.0916,0.61468,13.0192,0.38004,0.78170,0.61046,0.36982
37," 99,476.7 ",0.000436,18.7805,0.10569,0.01863,8.0905,0.61474,13.0138,0.38029,0.78158,0.61020,0.36915
38," 99,433.3 ",0.000463,18.6777,0.11059,0.02012,8.0893,0.61480,13.0078,0.38058,0.78145,0.60990,0.36841
39," 99,387.3 ",0.000493,18.5701,0.11571,0.02173,8.0879,0.61486,13.0011,0.38090,0.78130,0.60957,0.36757
40," 99,338.3 ",0.000527,18.4578,0.12106,0.02347,8.0863,0.61494,12.9935,0.38126,0.78113,0.60920,0.36663
41," 99,285.9 ",0.000565,18.3403,0.12665,0.02536,8.0846,0.61502,12.9850,0.38167,0.78094,0.60879,0.36558
42," 99,229.8 ",0.000608,18.2176,0.13249,0.02741,8.0826,0.61511,12.9754,0.38212,0.78072,0.60832,0.36440
43," 99,169.4 ",0.000656,18.0895,0.13859,0.02963,8.0804,0.61522,12.9647,0.38263,0.78048,0.60780,0.36307
44," 99,104.3 ",0.000710,17.9558,0.14496,0.03203,8.0779,0.61534,12.9526,0.38321,0.78021,0.60721,0.36159
45," 99,033.9 ",0.000771,17.8162,0.15161,0.03463,8.0751,0.61547,12.9391,0.38385,0.77991,0.60655,0.35994
46," 98,957.6 ",0.000839,17.6706,0.15854,0.03744,8.0720,0.61562,12.9240,0.38457,0.77956,0.60581,0.35809
47," 98,874.5 ",0.000916,17.5189,0.16577,0.04047,8.0684,0.61579,12.9070,0.38538,0.77918,0.60498,0.35601
48," 98,783.9 ",0.001003,17.3607,0.17330,0.04374,8.0645,0.61598,12.8880,0.38629,0.77875,0.60404,0.35370
49," 98,684.9 ",0.001100,17.1960,0.18114,0.04727,8.0600,0.61619,12.8667,0.38730,0.77827,0.60299,0.35112
50," 98,576.4 ",0.001209,17.0245,0.18931,0.05108,8.0550,0.61643,12.8428,0.38844,0.77772,0.60182,0.34824
51," 98,457.2 ",0.001331,16.8461,0.19780,0.05517,8.0494,0.61670,12.8161,0.38971,0.77711,0.60050,0.34503
52," 98,326.2 ",0.001469,16.6606,0.20664,0.05957,8.0431,0.61700,12.7862,0.39113,0.77643,0.59902,0.34146
53," 98,181.8 ",0.001623,16.4678,0.21582,0.06430,8.0360,0.61733,12.7527,0.39273,0.77566,0.59736,0.33749
54," 98,022.4 ",0.001797,16.2676,0.22535,0.06938,8.0281,0.61771,12.7154,0.39451,0.77479,0.59550,0.33308
55," 97,846.2 ",0.001993,16.0599,0.23524,0.07483,8.0192,0.61813,12.6737,0.39649,0.77382,0.59342,0.32819
56," 97,651.2 ",0.002212,15.8444,0.24550,0.08067,8.0092,0.61861,12.6271,0.39871,0.77273,0.59109,0.32279
57," 97,435.2 ",0.002459,15.6212,0.25613,0.08692,7.9980,0.61914,12.5752,0.40118,0.77151,0.58848,0.31681
58," 97,195.6 ",0.002736,15.3901,0.26714,0.09360,7.9854,0.61974,12.5174,0.40393,0.77014,0.58556,0.31024
59," 96,929.6 ",0.003048,15.1511,0.27852,0.10073,7.9713,0.62041,12.4531,0.40700,0.76860,0.58229,0.30300
60," 96,634.1 ",0.003398,14.9041,0.29028,0.10834,7.9555,0.62116,12.3816,0.41040,0.76687,0.57864,0.29508
61," 96,305.8 ",0.003792,14.6491,0.30243,0.11644,7.9379,0.62201,12.3024,0.41417,0.76493,0.57457,0.28641
62," 95,940.6 ",0.004234,14.3861,0.31495,0.12506,7.9181,0.62295,12.2145,0.41836,0.76276,0.57003,0.27698
